gene_id,gene_id,gene_type,gene_name
ENSMUSG00000102768.2,ENSMUSG00000102768.2,processed_pseudogene,Gm19002
ENSMUSG00000097797.7,ENSMUSG00000097797.7,lncRNA,Gm26901
ENSMUSG00000103498.2,ENSMUSG00000103498.2,processed_pseudogene,Gm18984
ENSMUSG00000103067.2,ENSMUSG00000103067.2,lncRNA,Gm30414
ENSMUSG00000102320.2,ENSMUSG00000102320.2,processed_pseudogene,Gm37791
ENSMUSG00000104226.2,ENSMUSG00000104226.2,processed_pseudogene,Gm7470
ENSMUSG00000103903.2,ENSMUSG00000103903.2,processed_pseudogene,Rps2-ps2
ENSMUSG00000103557.2,ENSMUSG00000103557.2,processed_pseudogene,Gm38216
ENSMUSG00000025909.17,ENSMUSG00000025909.17,protein_coding,Sntg1
ENSMUSG00000102647.2,ENSMUSG00000102647.2,TEC,Gm38024
ENSMUSG00000086235.2,ENSMUSG00000086235.2,processed_pseudogene,Gm16284
ENSMUSG00000102253.2,ENSMUSG00000102253.2,TEC,Gm38259
ENSMUSG00002074990.1,ENSMUSG00002074990.1,miRNA,ENSMUSG00002074990
ENSMUSG00000103884.2,ENSMUSG00000103884.2,TEC,Gm37005
ENSMUSG00000084353.2,ENSMUSG00000084353.2,processed_pseudogene,Gm15452
ENSMUSG00000103933.2,ENSMUSG00000103933.2,processed_pseudogene,Gm36964
ENSMUSG00002075967.1,ENSMUSG00002075967.1,miRNA,ENSMUSG00002075967
ENSMUSG00000086195.2,ENSMUSG00000086195.2,processed_pseudogene,Gm6152
ENSMUSG00000104504.2,ENSMUSG00000104504.2,processed_pseudogene,Gm7445
ENSMUSG00000066693.3,ENSMUSG00000066693.3,processed_pseudogene,Gm7493
ENSMUSG00000102316.2,ENSMUSG00000102316.2,TEC,Gm37629
ENSMUSG00000103819.2,ENSMUSG00000103819.2,processed_pseudogene,Gm38008
ENSMUSG00000102871.2,ENSMUSG00000102871.2,TEC,Gm37143
ENSMUSG00000101571.3,ENSMUSG00000101571.3,processed_pseudogene,Gm6187
ENSMUSG00000104428.2,ENSMUSG00000104428.2,processed_pseudogene,Gm18299
ENSMUSG00000102272.2,ENSMUSG00000102272.2,processed_pseudogene,Gm7512
ENSMUSG00000065625.3,ENSMUSG00000065625.3,snRNA,Gm24765
ENSMUSG00000103411.2,ENSMUSG00000103411.2,processed_pseudogene,Gm18300
ENSMUSG00000061024.9,ENSMUSG00000061024.9,protein_coding,Rrs1
ENSMUSG00000025911.15,ENSMUSG00000025911.15,protein_coding,Adhfe1
ENSMUSG00000079671.9,ENSMUSG00000079671.9,lncRNA,2610203C22Rik
ENSMUSG00000081441.4,ENSMUSG00000081441.4,processed_pseudogene,Gm6161
ENSMUSG00000067879.4,ENSMUSG00000067879.4,protein_coding,Vxn
ENSMUSG00000099827.2,ENSMUSG00000099827.2,lncRNA,Gm29520
ENSMUSG00000025912.17,ENSMUSG00000025912.17,protein_coding,Mybl1
ENSMUSG00000045210.9,ENSMUSG00000045210.9,protein_coding,Vcpip1
ENSMUSG00000097893.9,ENSMUSG00000097893.9,lncRNA,1700034P13Rik
ENSMUSG00000025915.15,ENSMUSG00000025915.15,protein_coding,Sgk3
ENSMUSG00000046334.5,ENSMUSG00000046334.5,processed_pseudogene,Gm6195
ENSMUSG00002075801.1,ENSMUSG00002075801.1,snRNA,U6
ENSMUSG00000046101.17,ENSMUSG00000046101.17,protein_coding,Mcmdc2
ENSMUSG00000098234.8,ENSMUSG00000098234.8,lncRNA,Snhg6
ENSMUSG00000093178.3,ENSMUSG00000093178.3,snoRNA,Snord87
ENSMUSG00000099032.3,ENSMUSG00000099032.3,protein_coding,Tcf24
ENSMUSG00000104025.2,ENSMUSG00000104025.2,TEC,E330040D14Rik
ENSMUSG00000025916.11,ENSMUSG00000025916.11,protein_coding,Ppp1r42
ENSMUSG00000087199.2,ENSMUSG00000087199.2,lncRNA,Gm15818
ENSMUSG00000119658.1,ENSMUSG00000119658.1,snRNA,U6
ENSMUSG00000025917.10,ENSMUSG00000025917.10,protein_coding,Cops5
ENSMUSG00000056763.17,ENSMUSG00000056763.17,protein_coding,Cspp1
ENSMUSG00000102356.2,ENSMUSG00000102356.2,TEC,1700047N06Rik
ENSMUSG00000067851.12,ENSMUSG00000067851.12,protein_coding,Arfgef1
ENSMUSG00002076532.1,ENSMUSG00002076532.1,misc_RNA,7SK
ENSMUSG00000102556.2,ENSMUSG00000102556.2,TEC,Gm37569
ENSMUSG00000042501.13,ENSMUSG00000042501.13,protein_coding,Cpa6
ENSMUSG00000103810.2,ENSMUSG00000103810.2,TEC,Gm38005
ENSMUSG00000083422.2,ENSMUSG00000083422.2,processed_pseudogene,Gm15604
ENSMUSG00000119312.1,ENSMUSG00000119312.1,snRNA,U6
ENSMUSG00000081417.2,ENSMUSG00000081417.2,processed_pseudogene,Gm15603
ENSMUSG00000103448.2,ENSMUSG00000103448.2,TEC,Gm37133
ENSMUSG00000100212.2,ENSMUSG00000100212.2,processed_pseudogene,Gm5522
ENSMUSG00000100648.2,ENSMUSG00000100648.2,processed_pseudogene,Gm28659
ENSMUSG00002076499.1,ENSMUSG00002076499.1,snoRNA,SNORA66
ENSMUSG00000048960.14,ENSMUSG00000048960.14,protein_coding,Prex2
ENSMUSG00000077318.3,ENSMUSG00000077318.3,snoRNA,Gm24173
ENSMUSG00000101827.2,ENSMUSG00000101827.2,processed_pseudogene,Gm28686
ENSMUSG00000103494.2,ENSMUSG00000103494.2,TEC,Gm37410
ENSMUSG00000057715.14,ENSMUSG00000057715.14,protein_coding,A830018L16Rik
ENSMUSG00000103825.2,ENSMUSG00000103825.2,TEC,Gm38178
ENSMUSG00000099845.2,ENSMUSG00000099845.2,processed_pseudogene,Gm29273
ENSMUSG00000103561.2,ENSMUSG00000103561.2,TEC,Gm38069
ENSMUSG00000101610.2,ENSMUSG00000101610.2,processed_pseudogene,Gm7560
ENSMUSG00000118923.1,ENSMUSG00000118923.1,snRNA,U6
ENSMUSG00000098555.3,ENSMUSG00000098555.3,miRNA,Mir6341
ENSMUSG00000097628.2,ENSMUSG00000097628.2,processed_pseudogene,Gm2383
ENSMUSG00000098163.2,ENSMUSG00000098163.2,processed_pseudogene,Gm6216
ENSMUSG00000097171.2,ENSMUSG00000097171.2,lncRNA,Gm17644
ENSMUSG00000101314.2,ENSMUSG00000101314.2,lncRNA,Gm29663
ENSMUSG00000016918.16,ENSMUSG00000016918.16,protein_coding,Sulf1
ENSMUSG00000025938.17,ENSMUSG00000025938.17,protein_coding,Slco5a1
ENSMUSG00000104518.2,ENSMUSG00000104518.2,TEC,Gm37162
ENSMUSG00000069620.7,ENSMUSG00000069620.7,processed_pseudogene,Gm5250
ENSMUSG00000099498.2,ENSMUSG00000099498.2,lncRNA,Gm29283
ENSMUSG00000042414.8,ENSMUSG00000042414.8,protein_coding,Prdm14
ENSMUSG00000005886.15,ENSMUSG00000005886.15,protein_coding,Ncoa2
ENSMUSG00000103506.2,ENSMUSG00000103506.2,TEC,Gm38376
ENSMUSG00000103495.2,ENSMUSG00000103495.2,TEC,Gm37409
ENSMUSG00002076346.1,ENSMUSG00002076346.1,miRNA,ENSMUSG00002076346
ENSMUSG00000102639.2,ENSMUSG00000102639.2,TEC,Gm38223
ENSMUSG00000104170.2,ENSMUSG00000104170.2,TEC,Gm37702
ENSMUSG00000087782.3,ENSMUSG00000087782.3,snRNA,Gm23169
ENSMUSG00000103085.2,ENSMUSG00000103085.2,TEC,Gm38120
ENSMUSG00000102664.2,ENSMUSG00000102664.2,TEC,Gm38380
ENSMUSG00000101476.2,ENSMUSG00000101476.2,lncRNA,Gm29570
ENSMUSG00000101171.2,ENSMUSG00000101171.2,processed_pseudogene,Gm7593
ENSMUSG00000025935.11,ENSMUSG00000025935.11,protein_coding,Tram1
ENSMUSG00000025937.7,ENSMUSG00000025937.7,protein_coding,Lactb2
ENSMUSG00000102982.2,ENSMUSG00000102982.2,TEC,Gm38319
ENSMUSG00000067813.4,ENSMUSG00000067813.4,protein_coding,Xkr9
ENSMUSG00000077368.3,ENSMUSG00000077368.3,snoRNA,Gm26273
ENSMUSG00000097711.2,ENSMUSG00000097711.2,processed_pseudogene,Gm5523
ENSMUSG00000102166.2,ENSMUSG00000102166.2,TEC,Gm36947
ENSMUSG00002075174.1,ENSMUSG00002075174.1,misc_RNA,7SK
ENSMUSG00000104209.2,ENSMUSG00000104209.2,TEC,Gm37400
ENSMUSG00000025932.15,ENSMUSG00000025932.15,protein_coding,Eya1
ENSMUSG00002075819.1,ENSMUSG00002075819.1,miRNA,ENSMUSG00002075819
ENSMUSG00000102588.2,ENSMUSG00000102588.2,TEC,Gm37444
ENSMUSG00000054493.3,ENSMUSG00000054493.3,lncRNA,Gm9947
ENSMUSG00000025930.7,ENSMUSG00000025930.7,protein_coding,Msc
ENSMUSG00000103492.2,ENSMUSG00000103492.2,TEC,Gm37412
ENSMUSG00000081201.2,ENSMUSG00000081201.2,processed_pseudogene,Smt3h2-ps4
ENSMUSG00000082193.2,ENSMUSG00000082193.2,processed_pseudogene,Rpl5-ps1
ENSMUSG00000032769.6,ENSMUSG00000032769.6,protein_coding,Trpa1
ENSMUSG00000088159.3,ENSMUSG00000088159.3,snoRNA,Gm26345
ENSMUSG00000073737.4,ENSMUSG00000073737.4,processed_pseudogene,Gm10566
ENSMUSG00000092083.5,ENSMUSG00000092083.5,protein_coding,Kcnb2
ENSMUSG00000102937.2,ENSMUSG00000102937.2,TEC,Gm38116
ENSMUSG00000104149.2,ENSMUSG00000104149.2,TEC,Gm37138
ENSMUSG00000088829.3,ENSMUSG00000088829.3,snoRNA,Gm25227
ENSMUSG00000077377.3,ENSMUSG00000077377.3,snoRNA,Gm25168
ENSMUSG00000101652.2,ENSMUSG00000101652.2,processed_pseudogene,Gm6060
ENSMUSG00000100814.2,ENSMUSG00000100814.2,processed_pseudogene,Gm28669
ENSMUSG00000025925.15,ENSMUSG00000025925.15,protein_coding,Terf1
ENSMUSG00000104379.2,ENSMUSG00000104379.2,TEC,Gm37509
ENSMUSG00000032719.5,ENSMUSG00000032719.5,protein_coding,Sbspon
ENSMUSG00002076565.1,ENSMUSG00002076565.1,misc_RNA,7SK
ENSMUSG00000100652.2,ENSMUSG00000100652.2,processed_pseudogene,Gm7634
ENSMUSG00000067795.14,ENSMUSG00000067795.14,protein_coding,4930444P10Rik
ENSMUSG00000043716.14,ENSMUSG00000043716.14,protein_coding,Rpl7
ENSMUSG00000025921.8,ENSMUSG00000025921.8,protein_coding,Rdh10
ENSMUSG00000104165.2,ENSMUSG00000104165.2,TEC,Gm38249
ENSMUSG00000100868.2,ENSMUSG00000100868.2,lncRNA,Gm28095
ENSMUSG00000025920.20,ENSMUSG00000025920.20,protein_coding,Stau2
ENSMUSG00000089982.8,ENSMUSG00000089982.8,lncRNA,Gm7568
ENSMUSG00000025939.20,ENSMUSG00000025939.20,protein_coding,Ube2w
ENSMUSG00000102457.2,ENSMUSG00000102457.2,TEC,Gm38342
ENSMUSG00000079658.10,ENSMUSG00000079658.10,protein_coding,Eloc
ENSMUSG00000097744.2,ENSMUSG00000097744.2,lncRNA,D030040B21Rik
ENSMUSG00000100959.2,ENSMUSG00000100959.2,processed_pseudogene,Idi1-ps5
ENSMUSG00000025940.7,ENSMUSG00000025940.7,protein_coding,Tmem70
ENSMUSG00000025779.11,ENSMUSG00000025779.11,protein_coding,Ly96
ENSMUSG00000100093.2,ENSMUSG00000100093.2,processed_pseudogene,Gm29649
ENSMUSG00000091020.4,ENSMUSG00000091020.4,processed_pseudogene,Gm5828
ENSMUSG00000101640.2,ENSMUSG00000101640.2,lncRNA,Gm28376
ENSMUSG00000104133.2,ENSMUSG00000104133.2,TEC,4921511E07Rik
ENSMUSG00000042686.6,ENSMUSG00000042686.6,protein_coding,Jph1
ENSMUSG00000100110.2,ENSMUSG00000100110.2,lncRNA,Gm28783
ENSMUSG00000025777.9,ENSMUSG00000025777.9,protein_coding,Gdap1
ENSMUSG00000099899.2,ENSMUSG00000099899.2,lncRNA,Gm28784
ENSMUSG00000100272.2,ENSMUSG00000100272.2,processed_pseudogene,Gm28785
ENSMUSG00000100398.2,ENSMUSG00000100398.2,processed_pseudogene,Gm5251
ENSMUSG00000101589.2,ENSMUSG00000101589.2,processed_pseudogene,Rbm6-ps1
ENSMUSG00000102048.2,ENSMUSG00000102048.2,processed_pseudogene,Gm6075
ENSMUSG00000089534.3,ENSMUSG00000089534.3,snoRNA,Gm25166
ENSMUSG00000067780.4,ENSMUSG00000067780.4,protein_coding,Pi15
ENSMUSG00000100053.2,ENSMUSG00000100053.2,lncRNA,Gm28154
ENSMUSG00000085125.8,ENSMUSG00000085125.8,lncRNA,Gm16070
ENSMUSG00000025776.14,ENSMUSG00000025776.14,protein_coding,Crispld1
ENSMUSG00000099895.2,ENSMUSG00000099895.2,lncRNA,Gm28153
ENSMUSG00000100554.2,ENSMUSG00000100554.2,processed_pseudogene,Gm7690
ENSMUSG00000099473.2,ENSMUSG00000099473.2,transcribed_unprocessed_pseudogene,Gm18775
ENSMUSG00000099591.2,ENSMUSG00000099591.2,processed_pseudogene,Gm17969
ENSMUSG00000109887.2,ENSMUSG00000109887.2,lncRNA,Gm28756
ENSMUSG00000102001.2,ENSMUSG00000102001.2,unprocessed_pseudogene,Gm28755
ENSMUSG00000101717.3,ENSMUSG00000101717.3,transcribed_unprocessed_pseudogene,Gm45784
ENSMUSG00000025774.15,ENSMUSG00000025774.15,protein_coding,Crisp4
ENSMUSG00000070977.5,ENSMUSG00000070977.5,unprocessed_pseudogene,Defb44-ps
ENSMUSG00000073735.2,ENSMUSG00000073735.2,protein_coding,Defb18
ENSMUSG00000067773.7,ENSMUSG00000067773.7,protein_coding,Defb41
ENSMUSG00000101685.2,ENSMUSG00000101685.2,processed_pseudogene,Gm17837
ENSMUSG00000101306.2,ENSMUSG00000101306.2,processed_pseudogene,Gm5252
ENSMUSG00000088800.4,ENSMUSG00000088800.4,snoRNA,Gm24075
ENSMUSG00000101644.2,ENSMUSG00000101644.2,processed_pseudogene,Gm28343
ENSMUSG00000099433.2,ENSMUSG00000099433.2,processed_pseudogene,Gm28344
ENSMUSG00000089787.3,ENSMUSG00000089787.3,lncRNA,Gm15825
ENSMUSG00000042596.8,ENSMUSG00000042596.8,protein_coding,Tfap2d
ENSMUSG00000100720.2,ENSMUSG00000100720.2,processed_pseudogene,Gm10075
ENSMUSG00000025927.14,ENSMUSG00000025927.14,protein_coding,Tfap2b
ENSMUSG00000100538.2,ENSMUSG00000100538.2,lncRNA,Gm28340
ENSMUSG00000101117.2,ENSMUSG00000101117.2,processed_pseudogene,Gm28341
ENSMUSG00000100204.2,ENSMUSG00000100204.2,processed_pseudogene,Gm4849
ENSMUSG00002076883.1,ENSMUSG00002076883.1,snoRNA,SNORD29
ENSMUSG00000102597.2,ENSMUSG00000102597.2,TEC,Gm38382
ENSMUSG00000043760.17,ENSMUSG00000043760.17,protein_coding,Pkhd1
ENSMUSG00000104095.2,ENSMUSG00000104095.2,TEC,Gm37315
ENSMUSG00000089914.3,ENSMUSG00000089914.3,lncRNA,4930486I03Rik
ENSMUSG00000090142.3,ENSMUSG00000090142.3,processed_pseudogene,Gm15795
ENSMUSG00000070175.3,ENSMUSG00000070175.3,snRNA,Gm24162
ENSMUSG00000099906.3,ENSMUSG00000099906.3,lncRNA,Gm28653
ENSMUSG00000065559.3,ENSMUSG00000065559.3,miRNA,Mir206
ENSMUSG00000065480.3,ENSMUSG00000065480.3,miRNA,Mir133b
ENSMUSG00000025929.5,ENSMUSG00000025929.5,protein_coding,Il17a
ENSMUSG00000041872.10,ENSMUSG00000041872.10,protein_coding,Il17f
ENSMUSG00000041859.11,ENSMUSG00000041859.11,protein_coding,Mcm3
ENSMUSG00000099714.2,ENSMUSG00000099714.2,processed_pseudogene,Gm20587
ENSMUSG00000102121.2,ENSMUSG00000102121.2,lncRNA,Gm28065
ENSMUSG00000088858.3,ENSMUSG00000088858.3,snoRNA,Gm24723
ENSMUSG00000097934.2,ENSMUSG00000097934.2,lncRNA,6720483E21Rik
ENSMUSG00000025931.16,ENSMUSG00000025931.16,protein_coding,Paqr8
ENSMUSG00000077314.3,ENSMUSG00000077314.3,snoRNA,Gm24171
ENSMUSG00000100929.2,ENSMUSG00000100929.2,processed_pseudogene,Gm28064
ENSMUSG00000041809.6,ENSMUSG00000041809.6,protein_coding,Efhc1
ENSMUSG00000041779.6,ENSMUSG00000041779.6,protein_coding,Tram2
ENSMUSG00000099971.2,ENSMUSG00000099971.2,lncRNA,Gm28287
ENSMUSG00000100819.2,ENSMUSG00000100819.2,unprocessed_pseudogene,Gm2693
ENSMUSG00000025933.16,ENSMUSG00000025933.16,protein_coding,Tmem14a
ENSMUSG00000102633.2,ENSMUSG00000102633.2,TEC,Gm38224
ENSMUSG00000025934.16,ENSMUSG00000025934.16,protein_coding,Gsta3
ENSMUSG00000099343.2,ENSMUSG00000099343.2,lncRNA,Gm28836
ENSMUSG00000096375.3,ENSMUSG00000096375.3,unprocessed_pseudogene,Gm7094
ENSMUSG00000025936.16,ENSMUSG00000025936.16,transcribed_unprocessed_pseudogene,Gm4956
ENSMUSG00000093963.2,ENSMUSG00000093963.2,unprocessed_pseudogene,Gm21909
ENSMUSG00000067750.4,ENSMUSG00000067750.4,protein_coding,Khdc1a
ENSMUSG00000086194.2,ENSMUSG00000086194.2,unprocessed_pseudogene,Gm16329
ENSMUSG00000094436.2,ENSMUSG00000094436.2,processed_pseudogene,Gm16327
ENSMUSG00000041722.8,ENSMUSG00000041722.8,protein_coding,Khdc1c
ENSMUSG00000085507.2,ENSMUSG00000085507.2,unprocessed_pseudogene,Gm2709
ENSMUSG00000094926.2,ENSMUSG00000094926.2,processed_pseudogene,Gm16533
ENSMUSG00000085079.4,ENSMUSG00000085079.4,protein_coding,Khdc1b
ENSMUSG00000085679.3,ENSMUSG00000085679.3,processed_pseudogene,Gm16328
ENSMUSG00000028033.17,ENSMUSG00000028033.17,protein_coding,Kcnq5
ENSMUSG00000104138.2,ENSMUSG00000104138.2,TEC,Gm36949
ENSMUSG00000082935.4,ENSMUSG00000082935.4,processed_pseudogene,Gm7658
ENSMUSG00000103748.2,ENSMUSG00000103748.2,TEC,Gm38243
ENSMUSG00000099692.2,ENSMUSG00000099692.2,processed_pseudogene,Gm5696
ENSMUSG00000100418.2,ENSMUSG00000100418.2,processed_pseudogene,Gm28239
ENSMUSG00000041670.20,ENSMUSG00000041670.20,protein_coding,Rims1
ENSMUSG00000097642.2,ENSMUSG00000097642.2,processed_pseudogene,Gm26866
ENSMUSG00000101468.2,ENSMUSG00000101468.2,processed_pseudogene,Gm7761
ENSMUSG00000101227.2,ENSMUSG00000101227.2,lncRNA,Gm29506
ENSMUSG00000073730.3,ENSMUSG00000073730.3,protein_coding,Ppp1r14bl
ENSMUSG00000089553.3,ENSMUSG00000089553.3,snoRNA,Gm24176
ENSMUSG00000102766.2,ENSMUSG00000102766.2,TEC,Gm6420
ENSMUSG00000065405.5,ENSMUSG00000065405.5,miRNA,Mir30a
ENSMUSG00000097970.2,ENSMUSG00000097970.2,lncRNA,Gm27028
ENSMUSG00000065567.3,ENSMUSG00000065567.3,miRNA,Mir30c-2
ENSMUSG00000100775.2,ENSMUSG00000100775.2,lncRNA,Gm29107
ENSMUSG00000101226.2,ENSMUSG00000101226.2,processed_pseudogene,Gm20954
ENSMUSG00000026158.12,ENSMUSG00000026158.12,protein_coding,Ogfrl1
ENSMUSG00000097920.2,ENSMUSG00000097920.2,processed_pseudogene,Gm7784
ENSMUSG00000099503.2,ENSMUSG00000099503.2,lncRNA,Gm28822
ENSMUSG00000026156.9,ENSMUSG00000026156.9,protein_coding,B3gat2
ENSMUSG00000026155.14,ENSMUSG00000026155.14,protein_coding,Smap1
ENSMUSG00000026154.5,ENSMUSG00000026154.5,protein_coding,Sdhaf4
ENSMUSG00000102495.2,ENSMUSG00000102495.2,TEC,Gm26524
ENSMUSG00000026153.16,ENSMUSG00000026153.16,protein_coding,Fam135a
ENSMUSG00000102398.2,ENSMUSG00000102398.2,TEC,Gm37580
ENSMUSG00000097670.2,ENSMUSG00000097670.2,processed_pseudogene,Gm26607
ENSMUSG00000026147.17,ENSMUSG00000026147.17,protein_coding,Col9a1
ENSMUSG00000026141.14,ENSMUSG00000026141.14,protein_coding,Col19a1
ENSMUSG00000077463.3,ENSMUSG00000077463.3,snoRNA,Gm26418
ENSMUSG00000099997.2,ENSMUSG00000099997.2,processed_pseudogene,Tubb4b-ps2
ENSMUSG00000100131.2,ENSMUSG00000100131.2,unprocessed_pseudogene,Gm28439
ENSMUSG00000067736.3,ENSMUSG00000067736.3,unprocessed_pseudogene,Gm10222
ENSMUSG00000101939.2,ENSMUSG00000101939.2,unprocessed_pseudogene,Gm28438
ENSMUSG00000101111.2,ENSMUSG00000101111.2,unprocessed_pseudogene,Gm28437
ENSMUSG00000100862.2,ENSMUSG00000100862.2,unprocessed_pseudogene,Gm10925
ENSMUSG00000102070.2,ENSMUSG00000102070.2,unprocessed_pseudogene,Gm28661
ENSMUSG00000101249.2,ENSMUSG00000101249.2,unprocessed_pseudogene,Gm29216
ENSMUSG00000073725.9,ENSMUSG00000073725.9,protein_coding,Lmbrd1
ENSMUSG00000100808.2,ENSMUSG00000100808.2,processed_pseudogene,Gm28594
ENSMUSG00000100483.2,ENSMUSG00000100483.2,lncRNA,Gm28237
ENSMUSG00000100450.2,ENSMUSG00000100450.2,processed_pseudogene,Gm9443
ENSMUSG00000099392.2,ENSMUSG00000099392.2,lncRNA,Gm29414
ENSMUSG00000033569.18,ENSMUSG00000033569.18,protein_coding,Adgrb3
ENSMUSG00000080849.2,ENSMUSG00000080849.2,processed_pseudogene,Gm15702
